Away,A_Overall_W,A_Overall_L,A_Overall_Pct,A_Conf_W,A_Conf_L,A_Conf_Pct,A_Pts_for,A_Pts_against,A_SRS,A_SOS,A_Poll_curr,A_Poll_pre,A_Poll_high,A_Offensive_Points,A_Offensive_Pass_Completions,A_Offensive_Pass_Attempts,A_Offensive_Pass_Pct,A_Offensive_Pass_Yrds,A_Offensive_Pass_TD,A_Offensive_RusA_Attempts,A_Offensive_RusA_Yards,A_Offensive_RusA_Yards_Average,A_Offensive_RusA_TD,A_Offensive_Total_Plays,A_Offensive_Total_Yards,A_Offensive_Total_Average,A_Offensive_First_Downs_Pass,A_Offensive_First_Downs_Rush,A_Offensive_First_Downs_Penalty,A_Offensive_First_Downs_Total,A_Offensive_Penalties_Number,A_Offensive_Penalties_Yards,A_Offensive_Turnovers_Fumbles,A_Offensive_Turnovers_Pass_Interception,A_Offensive_Turnovers_Total,A_Defensive_Points,A_Defensive_Pass_Completions,A_Defensive_Pass_Attempts,A_Defensive_Pass_Pct,A_Defensive_Pass_Yrds,A_Defensive_Pass_TD,A_Defensive_RusA_Attempts,A_Defensive_RusA_Yards,A_Defensive_RusA_Yards_Average,A_Defensive_RusA_TD,A_Defensive_Total_Plays,A_Defensive_Total_Yards,A_Defensive_Total_Average,A_Defensive_First_Downs_Pass,A_Defensive_First_Downs_Rush,A_Defensive_First_Downs_Penalty,A_Defensive_First_Downs_Total,A_Defensive_Penalties_Number,A_Defensive_Penalties_Yards,A_Defensive_Turnovers_Fumbles,A_Defensive_Turnovers_Pass_Interception,A_Defensive_Turnovers_Total
Florida State,5,7,0.417,3,5,0.375,21.9,31.5,-1.95,4.64,NA,19,19,21.9,21.6,37.9,56.9,269.1,1.7,32.6,90.9,2.8,0.9,70.5,360,5.1,10.7,5,1.4,17.1,9.2,70.9,1.1,1.1,2.2,31.5,20.6,37.8,54.5,267.7,2.5,41.8,149.6,3.6,1.3,79.5,417.3,5.2,11.3,8.5,2.1,21.9,5.8,50.6,0.3,1,1.3
Georgia Tech,7,5,0.583,5,3,0.625,35.6,28.9,4.38,1.3,NA,NA,NA,35.6,4.3,9.5,44.7,84.3,0.6,58.4,335,5.7,3.7,67.9,419.3,6.2,3.1,17.3,1.4,21.8,3.9,37.3,1,0.3,1.3,28.9,19,29.2,65.1,217.9,1.8,33.3,149.8,4.5,1.7,62.4,367.8,5.9,10,9.3,0.9,20.3,4.3,35.8,1,1,2
Louisville,2,10,0.167,0,8,0,19.8,44.1,-10.18,5.07,NA,NA,NA,19.8,17.5,32.8,53.3,211.1,0.8,33.5,142.4,4.3,1.5,66.3,353.5,5.3,9.5,7.9,1.3,18.8,8.4,71.8,0.8,1.3,2.1,44.1,15.6,24.2,64.5,206.3,2.1,46,278.8,6.1,3.3,70.2,485,6.9,9.1,12.7,1.5,23.3,5.5,51.8,0.6,0.5,1.1
Miami,7,5,0.583,4,4,0.5,30.9,18.2,8.27,1.02,NA,8,8,30.9,14.7,28.3,51.9,177.3,1.6,38,197.3,5.2,2.1,66.3,374.6,5.7,7.2,9.5,1.3,18,6,49.8,0.9,0.8,1.8,18.2,13.6,25.5,53.3,140.8,0.8,38.7,127.3,3.3,0.9,64.2,268.1,4.2,6.4,7.5,1.5,15.4,5.1,49.7,0.8,1.3,2
North Carolina,2,9,0.182,1,7,0.125,27.4,34.5,-4.74,1.72,NA,NA,NA,27.4,22.2,37.6,58.9,249.1,1.3,36.5,193,5.3,1.7,74.2,442.1,6,10.6,9.5,1.1,21.3,6,55.6,0.8,1.3,2.1,34.5,17.8,31.5,56.6,228.8,1.5,43.4,218.8,5,2.5,74.8,447.6,6,10,10.7,1.9,22.6,5,40.6,0.9,0.6,1.5
North Carolina State,8,3,0.727,5,3,0.625,33.5,24.5,7.21,-0.25,NA,NA,16,33.5,25.6,38.1,67.3,319.2,1.9,37.2,135.6,3.6,2.1,75.3,454.8,6,14.4,7.5,2.5,24.4,4.8,47.4,0.5,0.7,1.2,24.5,22.2,36.6,60.5,289.2,1.5,31.4,116.2,3.7,1.2,68,405.4,6,11.6,6.6,1.6,19.9,7.2,54.8,0.7,0.6,1.4
Pitt,7,5,0.583,6,2,0.75,28,27.8,6.34,4.76,NA,NA,24,28,13.9,22.6,61.6,153.4,1,40.1,232.7,5.8,2.3,62.7,386.1,6.2,5.5,11,1.3,17.7,7.3,70.8,0.7,0.4,1.1,27.8,17.6,30.8,57.2,225.6,1.8,37.3,175.3,4.7,1.5,68.1,400.9,5.9,9.7,9.2,2.4,21.3,4.9,40.8,0.8,0.8,1.5
Syracuse,9,3,0.75,6,2,0.75,40.8,27.8,10.85,0.43,18,NA,12,40.8,20.8,36.1,57.7,261.5,1.8,45.8,210.3,4.6,2.9,81.9,471.8,5.8,10.3,10.9,2.3,23.6,6.9,56.5,0.5,0.8,1.3,27.8,19.7,35.4,55.5,263,1.7,37.7,163.8,4.3,1.6,73.1,426.8,5.8,10.3,8.1,1.8,20.1,7.8,61.2,1.1,1.4,2.5
Virginia,7,5,0.583,4,4,0.5,28.5,21.8,5,-0.75,NA,NA,23,28.5,17.2,27.3,63,211.9,1.9,37.6,170.3,4.5,1.5,64.8,382.2,5.9,9.3,10.2,1.3,20.7,4.7,41.5,0.8,0.8,1.5,21.8,14.9,27.8,53.6,180.1,1,35.2,157.1,4.5,1.3,63,337.2,5.4,8.3,7.5,1,16.7,5.6,52.7,0.3,1.3,1.6
Virginia Tech,5,6,0.455,4,4,0.5,28.7,31.6,-2.28,1.27,NA,20,12,28.7,19.3,33.8,57,251.7,2.1,39.5,172.7,4.4,1.5,73.3,424.5,5.8,11.5,9.7,1,22.3,5.5,52.8,0.5,0.8,1.3,31.6,18.1,29.5,61.2,231.2,1.5,39.1,204.2,5.2,2.5,68.6,435.4,6.3,9.2,9.3,1.7,20.2,5.5,38.5,1,0.5,1.5
Wake Forest,6,6,0.5,3,5,0.375,32.5,33.3,1.39,1.97,NA,NA,NA,32.5,18.8,33.7,55.9,227.4,2,48,218,4.5,1.5,81.7,445.4,5.5,10.8,12.2,1.7,24.6,4,41.5,0.5,1,1.5,33.3,24.4,38.4,63.6,273.2,2.1,39.3,191,4.9,2.4,77.7,464.2,6,11.7,9,1.6,22.3,6,52.3,0.8,0.4,1.3
Baylor,6,6,0.5,4,5,0.444,28.3,31.2,2.7,3.04,NA,NA,NA,28.3,22.9,37.5,61.1,282.2,1.7,38,159.5,4.2,1.8,75.5,441.7,5.8,12.1,10.6,2.4,25.1,7.8,76.1,0.5,1,1.5,31.2,19.1,31,61.6,237.6,2,34.5,175,5.1,1.8,65.5,412.6,6.3,9.8,8.8,1.8,20.4,6.4,58.8,0.2,0.6,0.8
Iowa State,7,4,0.636,6,3,0.667,26.8,22.4,10.16,5.71,24,NA,18,26.8,18.4,28.1,65.4,241.6,1.7,34.8,125.4,3.6,1.3,62.9,367,5.8,9.5,7.6,2.1,19.1,4.5,39.9,0.7,0.5,1.3,22.4,20.1,32.9,61,229.5,1.6,37.4,128.1,3.4,0.7,70.3,357.5,5.1,10.4,8.2,0.8,19.4,6.4,61,0.6,0.6,1.3
Kansas,3,9,0.25,1,8,0.111,23.8,30,-4.32,2.68,NA,NA,NA,23.8,19.2,32.8,58.5,192.7,1.5,35.2,158.2,4.5,1.2,67.9,350.8,5.2,9.3,7.2,1.5,17.9,6.5,55.8,0.6,0.3,0.9,30,19.5,30.1,64.8,246.8,1.9,38.6,172.4,4.5,1.8,68.7,419.2,6.1,10.7,9.8,1.4,21.9,6,55.3,0.9,1.3,2.3
Kansas State,5,7,0.417,3,6,0.333,22.5,25.4,1.81,3.89,NA,NA,NA,22.5,13.8,24.2,57.2,162.1,0.9,42.3,182.6,4.3,1.7,66.4,344.7,5.2,7.3,9.7,1.8,18.8,4.9,44.8,0.8,0.6,1.4,25.4,21.3,35.3,60.1,245.8,1.7,32.3,158,4.9,1.2,67.7,403.8,6,11.6,8.3,1.3,21,5.8,50.8,0.7,0.9,1.6
Oklahoma,11,1,0.917,8,1,0.889,50.3,32.8,18.36,4.53,5,7,5,50.3,19.2,27.5,69.7,319.4,3.2,37.5,264.8,7.1,3.2,65,584.3,9,13.1,11.9,1.2,26.2,6.2,61.7,0.4,0.6,1,32.8,22.3,35.3,63.1,286.6,1.8,39.5,162.4,4.1,2.4,74.8,449,6,12.6,9.6,2.1,24.3,5.5,50.1,0.4,0.4,0.8
Oklahoma State,6,6,0.5,3,6,0.333,38.4,32.4,6.21,3.37,NA,NA,15,38.4,22.1,37.3,59.3,306.7,2.4,40.3,192.5,4.8,2.4,77.6,499.2,6.4,14.1,10.2,1.8,26,6.8,70.1,0.8,0.9,1.7,32.4,21.3,34.5,61.8,258.3,2,40,178.8,4.5,2.1,74.5,437.1,5.9,11.8,8.3,2.8,22.8,6.2,51,0.6,0.4,1
Texas,9,3,0.75,7,2,0.778,31.7,25.2,10.82,4.74,9,23,6,31.7,22.3,34.3,65,257.4,2.2,40.3,157.3,3.9,1.6,74.5,414.7,5.6,12.2,9.3,2,23.5,7,62.5,0.4,0.4,0.8,25.2,21.3,35.5,59.9,255.8,1.7,34.7,136.5,3.9,1.4,70.2,392.3,5.6,10.8,7.5,1.7,20,6.8,69.8,0.5,0.9,1.4
Texas Christian,6,6,0.5,4,5,0.444,24.7,24.4,3.95,5.04,NA,16,15,24.7,19.2,32.3,59.4,226.1,1.5,36.3,148.5,4.1,1.1,68.6,374.6,5.5,9.8,8.3,1.1,19.2,4.4,39.8,0.9,0.9,1.8,24.4,17.4,31.2,55.9,202.6,1.4,39.1,141.8,3.6,1.5,70.3,344.4,4.9,9,8.7,1.3,19,5.8,46.3,0.8,0.6,1.3
