Home,Away,Home_score,Away_score,Winner
Oregon State,USC,21,38,1
Washington,Stanford,27,23,0
Washington State,California,19,13,0
Arizona State,UCLA,31,28,0
USC,California,14,15,1
Stanford,Oregon State,48,17,0
Utah,Oregon,32,25,0
Colorado,Washington State,7,31,1
Oregon,Arizona State,31,29,0
UCLA,USC,34,27,0
Colorado,Utah,7,30,1
Washington,Oregon State,42,23,0
Washington State,Arizona,69,28,0
Oregon State,Oregon,15,55,1
Washington State,Washington,15,28,1
Arizona,Arizona State,40,41,1
California,Colorado,33,21,0
UCLA,Stanford,42,49,1
California,Stanford,13,23,1
Connecticut,UCF,17,56,1
Navy,Memphis,22,21,0
Temple,Tulsa,31,17,0
South Florida,East Carolina,20,13,0
SMU,Navy,31,30,0
Tulane,Memphis,40,24,0
Connecticut,Cincinnati,7,49,1
Houston,Tulsa,41,26,0
UCF,SMU,48,20,0
Cincinnati,Tulane,37,21,0
Memphis,Connecticut,55,14,0
Temple,East Carolina,49,6,0
Tulsa,South Florida,24,25,1
Memphis,UCF,30,31,1
East Carolina,Houston,20,42,1
Navy,Temple,17,24,1
East Carolina,UCF,10,37,1
Navy,Houston,36,49,1
South Florida,Connecticut,38,30,0
Tulane,SMU,23,27,1
Temple,Cincinnati,24,17,0
SMU,Cincinnati,20,26,1
Houston,South Florida,57,36,0
Tulsa,Tulane,17,24,1
UCF,Temple,52,40,0
Cincinnati,Navy,42,0,0
East Carolina,Memphis,41,59,1
SMU,Houston,45,31,0
South Florida,Tulane,15,41,1
Tulsa,Connecticut,49,19,0
UCF,Navy,35,24,0
Cincinnati,South Florida,35,23,0
Memphis,Tulsa,47,21,0
Connecticut,SMU,50,62,1
Houston,Temple,49,59,1
Tulane,East Carolina,24,18,0
Houston,Tulane,48,17,0
SMU,Memphis,18,28,1
UCF,Cincinnati,38,13,0
East Carolina,Connecticut,55,21,0
Navy,Tulsa,37,29,0
Temple,South Florida,27,17,0
South Florida,UCF,10,38,1
Cincinnati,East Carolina,56,6,0
Memphis,Houston,52,31,0
Connecticut,Temple,7,57,1
Tulane,Navy,29,28,0
Tulsa,SMU,27,24,0
Colorado State,Hawaii,34,43,1
Utah State,Air Force,42,32,0
Wyoming,Boise State,14,34,1
San Jose State,Hawaii,41,44,1
Air Force,Nevada,25,28,1
San Jose State,Colorado State,30,42,1
Nevada,Fresno State,3,21,1
Hawaii,Wyoming,17,13,0
Nevada-Las Vegas,New Mexico,14,50,1
Boise State,San Diego State,13,19,1
San Diego State,Air Force,21,17,0
Nevada,Boise State,27,31,1
Colorado State,New Mexico,20,18,0
Fresno State,Wyoming,27,3,0
Utah State,Nevada-Las Vegas,59,28,0
Nevada-Las Vegas,Air Force,35,41,1
Boise State,Colorado State,56,28,0
New Mexico,Fresno State,7,38,1
Hawaii,Nevada,22,40,1
San Diego State,San Jose State,16,13,0
Wyoming,Utah State,16,24,1
Colorado State,Wyoming,21,34,1
Air Force,Boise State,38,48,1
Fresno State,Hawaii,50,20,0
Nevada,San Diego State,28,24,0
San Jose State,Nevada-Las Vegas,50,37,0
Utah State,New Mexico,61,19,0
Nevada-Las Vegas,Fresno State,3,48,1
New Mexico,San Diego State,23,31,1
Hawaii,Utah State,17,56,1
Wyoming,San Jose State,24,9,0
Boise State,Fresno State,24,17,0
Air Force,New Mexico,42,24,0
Nevada,Colorado State,49,10,0
San Diego State,Nevada-Las Vegas,24,27,1
Utah State,San Jose State,62,24,0
New Mexico,Boise State,14,45,1
Fresno State,San Diego State,23,14,0
Hawaii,Nevada-Las Vegas,35,28,0
San Jose State,Nevada,12,21,1
Colorado State,Utah State,24,29,1
Wyoming,Air Force,35,27,0
Air Force,Colorado State,27,19,0
Boise State,Utah State,33,24,0
Fresno State,San Jose State,31,13,0
San Diego State,Hawaii,30,31,1
Nevada-Las Vegas,Nevada,34,29,0
New Mexico,Wyoming,3,31,1
Old Dominion,Florida International,20,28,1
Charlotte,Old Dominion,28,25,0
Southern Mississippi,Rice,40,22,0
UAB,Charlotte,28,7,0
North Texas,Louisiana Tech,27,29,1
Western Kentucky,Marshall,17,20,1
Middle Tennessee State,Florida Atlantic,25,24,0
UTSA,UTEP,30,21,0
Marshall,Middle Tennessee State,24,34,1
Louisiana Tech,UAB,7,28,1
Florida Atlantic,Old Dominion,52,33,0
UTEP,North Texas,24,27,1
Rice,UTSA,3,20,1
Rice,UAB,0,42,1
Charlotte,Western Kentucky,40,14,0
Florida International,Middle Tennessee State,24,21,0
UTSA,Louisiana Tech,3,31,1
Old Dominion,Marshall,20,42,1
North Texas,Southern Mississippi,30,7,0
UAB,North Texas,29,21,0
Florida International,Rice,36,17,0
Louisiana Tech,UTEP,31,24,0
Marshall,Florida Atlantic,31,7,0
Middle Tennessee State,Charlotte,21,13,0
Western Kentucky,Old Dominion,34,37,1
Southern Mississippi,UTSA,27,17,0
UTEP,UAB,0,19,1
Charlotte,Southern Mississippi,20,17,0
Western Kentucky,Florida International,17,38,1
Florida Atlantic,Louisiana Tech,13,21,1
Old Dominion,Middle Tennessee State,17,51,1
North Texas,Rice,41,17,0
Middle Tennessee State,Western Kentucky,29,10,0
UAB,UTSA,52,3,0
Florida International,Florida Atlantic,14,49,1
Southern Mississippi,Marshall,26,24,0
Rice,UTEP,26,34,1
UAB,Southern Mississippi,26,23,0
Florida Atlantic,Western Kentucky,34,15,0
UTSA,Florida International,7,45,1
Louisiana Tech,Rice,28,13,0
Marshall,Charlotte,30,13,0
UTEP,Middle Tennessee State,32,48,1
Old Dominion,North Texas,34,31,0
North Texas,Florida Atlantic,41,38,0
Charlotte,Florida International,35,42,1
Marshall,UTSA,23,0,0
Southern Mississippi,Louisiana Tech,21,20,0
Western Kentucky,UTEP,40,16,0
Florida Atlantic,Charlotte,24,27,1
Florida International,Marshall,25,28,1
Middle Tennessee State,UAB,27,3,0
UTSA,North Texas,21,24,1
Rice,Old Dominion,27,13,0
UTEP,Southern Mississippi,7,39,1
Louisiana Tech,Western Kentucky,15,30,1
Buffalo,Eastern Michigan,35,28,0
Northern Illinois,Central Michigan,24,16,0
Bowling Green State,Miami (OH),23,38,1
Ball State,Kent State,52,24,0
Eastern Michigan,Northern Illinois,23,26,1
Miami (OH),Western Michigan,39,40,1
Central Michigan,Buffalo,24,34,1
Akron,Miami (OH),17,41,1
Ball State,Northern Illinois,16,24,1
Kent State,Ohio,26,27,1
Toledo,Bowling Green State,52,36,0
Western Michigan,Eastern Michigan,27,24,0
Central Michigan,Ball State,23,24,1
Buffalo,Akron,24,6,0
Eastern Michigan,Toledo,28,26,0
Miami (OH),Kent State,31,6,0
Northern Illinois,Ohio,24,21,0
Bowling Green State,Western Michigan,35,42,1
Kent State,Akron,23,24,1
Toledo,Buffalo,17,31,1
Ball State,Eastern Michigan,20,42,1
Ohio,Bowling Green State,49,14,0
Central Michigan,Western Michigan,10,35,1
Ohio,Ball State,52,14,0
Western Michigan,Toledo,24,51,1
Akron,Central Michigan,17,10,0
Buffalo,Miami (OH),51,42,0
Bowling Green State,Kent State,28,35,1
Toledo,Ball State,45,13,0
Akron,Northern Illinois,26,36,1
Western Michigan,Ohio,14,59,1
Eastern Michigan,Central Michigan,17,7,0
Buffalo,Kent State,48,14,0
Miami (OH),Ohio,30,28,0
Northern Illinois,Toledo,38,15,0
Central Michigan,Bowling Green State,13,24,1
Eastern Michigan,Akron,27,7,0
Ball State,Western Michigan,42,41,0
Northern Illinois,Miami (OH),7,13,1
Ohio,Buffalo,52,17,0
Kent State,Toledo,34,56,1
Akron,Bowling Green State,6,21,1
Miami (OH),Ball State,42,21,0
Western Michigan,Northern Illinois,28,21,0
Bowling Green State,Buffalo,14,44,1
Kent State,Eastern Michigan,20,28,1
Ohio,Akron,49,28,0
Toledo,Central Michigan,51,13,0
Old Dominion,Florida International,20,28,1
Charlotte,Old Dominion,28,25,0
Southern Mississippi,Rice,40,22,0
UAB,Charlotte,28,7,0
North Texas,Louisiana Tech,27,29,1
Western Kentucky,Marshall,17,20,1
Middle Tennessee State,Florida Atlantic,25,24,0
UTSA,UTEP,30,21,0
Marshall,Middle Tennessee State,24,34,1
Louisiana Tech,UAB,7,28,1
South Alabama,Texas State,41,31,0
Louisiana,Coastal Carolina,28,30,1
Louisiana-Monroe,Troy,27,35,1
Appalachian State,South Alabama,52,7,0
Georgia Southern,Arkansas State,28,21,0
Georgia State,Louisiana-Monroe,46,14,0
Troy,Coastal Carolina,45,21,0
Troy,Georgia State,37,20,0
Georgia Southern,South Alabama,48,13,0
Texas State,Louisiana,27,42,1
Arkansas State,Appalachian State,9,35,1
Texas State,Georgia Southern,13,15,1
Coastal Carolina,Louisiana-Monroe,20,45,1
Arkansas State,Georgia State,51,35,0
Appalachian State,Louisiana,27,17,0
Louisiana-Monroe,Texas State,20,14,0
South Alabama,Troy,17,38,1
Georgia Southern,Appalachian State,34,14,0
Georgia State,Coastal Carolina,34,37,1
Louisiana,Arkansas State,47,43,0
Coastal Carolina,Appalachian State,7,23,1
Arkansas State,South Alabama,38,14,0
Louisiana-Monroe,Georgia Southern,44,25,0
Georgia State,Texas State,31,40,1
Troy,Louisiana,26,16,0
Texas State,Appalachian State,7,38,1
Coastal Carolina,Arkansas State,16,44,1
Louisiana,Georgia State,36,22,0
South Alabama,Louisiana-Monroe,10,38,1
Georgia Southern,Troy,21,35,1
Appalachian State,Georgia State,45,17,0
Arkansas State,Louisiana-Monroe,31,17,0
Coastal Carolina,Georgia Southern,17,41,1
Louisiana,South Alabama,48,38,0
Troy,Texas State,12,7,0
Appalachian State,Troy,21,10,0
Texas State,Arkansas State,7,33,1
Georgia State,Georgia Southern,14,35,1
Louisiana-Monroe,Louisiana,28,31,1
South Alabama,Coastal Carolina,31,28,0
Notre Dame,Michigan,24,17,0
Notre Dame,Ball State,24,16,0
Notre Dame,Vanderbilt,22,17,0
Wake Forest,Notre Dame,27,56,1
Notre Dame,Stanford,38,17,0
Virginia Tech,Notre Dame,23,45,1
Notre Dame,Pitt,19,14,0
Notre Dame,Navy,44,22,0
Northwestern,Notre Dame,21,31,1
Notre Dame,Florida State,42,13,0
Notre Dame,Syracuse,36,3,0
USC,Notre Dame,17,24,1
