"","Home","Away","Home_score","Away_score","Winner","H_Overall_W","H_Overall_L","H_Overall_Pct","H_Conf_W","H_Conf_L","H_Conf_Pct","H_Pts_for","H_Pts_against","H_SRS","H_SOS","H_Poll_curr","H_Poll_pre","H_Poll_high","H_Offensive_Points","H_Offensive_Pass_Completions","H_Offensive_Pass_Attempts","H_Offensive_Pass_Pct","H_Offensive_Pass_Yrds","H_Offensive_Pass_TD","H_Offensive_RusH_Attempts","H_Offensive_RusH_Yards","H_Offensive_RusH_Yards_Average","H_Offensive_RusH_TD","H_Offensive_Total_Plays","H_Offensive_Total_Yards","H_Offensive_Total_Average","H_Offensive_First_Downs_Pass","H_Offensive_First_Downs_Rush","H_Offensive_First_Downs_Penalty","H_Offensive_First_Downs_Total","H_Offensive_Penalties_Number","H_Offensive_Penalties_Yards","H_Offensive_Turnovers_Fumbles","H_Offensive_Turnovers_Pass_Interception","H_Offensive_Turnovers_Total","H_Defensive_Points","H_Defensive_Pass_Completions","H_Defensive_Pass_Attempts","H_Defensive_Pass_Pct","H_Defensive_Pass_Yrds","H_Defensive_Pass_TD","H_Defensive_RusH_Attempts","H_Defensive_RusH_Yards","H_Defensive_RusH_Yards_Average","H_Defensive_RusH_TD","H_Defensive_Total_Plays","H_Defensive_Total_Yards","H_Defensive_Total_Average","H_Defensive_First_Downs_Pass","H_Defensive_First_Downs_Rush","H_Defensive_First_Downs_Penalty","H_Defensive_First_Downs_Total","H_Defensive_Penalties_Number","H_Defensive_Penalties_Yards","H_Defensive_Turnovers_Fumbles","H_Defensive_Turnovers_Pass_Interception","H_Defensive_Turnovers_Total","A_Overall_W","A_Overall_L","A_Overall_Pct","A_Conf_W","A_Conf_L","A_Conf_Pct","A_Pts_for","A_Pts_against","A_SRS","A_SOS","A_Poll_curr","A_Poll_pre","A_Poll_high","A_Offensive_Points","A_Offensive_Pass_Completions","A_Offensive_Pass_Attempts","A_Offensive_Pass_Pct","A_Offensive_Pass_Yrds","A_Offensive_Pass_TD","A_Offensive_RusA_Attempts","A_Offensive_RusA_Yards","A_Offensive_RusA_Yards_Average","A_Offensive_RusA_TD","A_Offensive_Total_Plays","A_Offensive_Total_Yards","A_Offensive_Total_Average","A_Offensive_First_Downs_Pass","A_Offensive_First_Downs_Rush","A_Offensive_First_Downs_Penalty","A_Offensive_First_Downs_Total","A_Offensive_Penalties_Number","A_Offensive_Penalties_Yards","A_Offensive_Turnovers_Fumbles","A_Offensive_Turnovers_Pass_Interception","A_Offensive_Turnovers_Total","A_Defensive_Points","A_Defensive_Pass_Completions","A_Defensive_Pass_Attempts","A_Defensive_Pass_Pct","A_Defensive_Pass_Yrds","A_Defensive_Pass_TD","A_Defensive_RusA_Attempts","A_Defensive_RusA_Yards","A_Defensive_RusA_Yards_Average","A_Defensive_RusA_TD","A_Defensive_Total_Plays","A_Defensive_Total_Yards","A_Defensive_Total_Average","A_Defensive_First_Downs_Pass","A_Defensive_First_Downs_Rush","A_Defensive_First_Downs_Penalty","A_Defensive_First_Downs_Total","A_Defensive_Penalties_Number","A_Defensive_Penalties_Yards","A_Defensive_Turnovers_Fumbles","A_Defensive_Turnovers_Pass_Interception","A_Defensive_Turnovers_Total"
"173","North Carolina","North Carolina State",28,34,1,2,9,0.182,1,7,0.125,27.4,34.5,-4.74,1.72,NA,NA,NA,27.4,22.2,37.6,58.9,249.1,1.3,36.5,193,5.3,1.7,74.2,442.1,6,10.6,9.5,1.1,21.3,6,55.6,0.8,1.3,2.1,34.5,17.8,31.5,56.6,228.8,1.5,43.4,218.8,5,2.5,74.8,447.6,6,10,10.7,1.9,22.6,5,40.6,0.9,0.6,1.5,8,3,0.727,5,3,0.625,33.5,24.5,7.21,-0.25,NA,NA,16,33.5,25.6,38.1,67.3,319.2,1.9,37.2,135.6,3.6,2.1,75.3,454.8,6,14.4,7.5,2.5,24.4,4.8,47.4,0.5,0.7,1.2,24.5,22.2,36.6,60.5,289.2,1.5,31.4,116.2,3.7,1.2,68,405.4,6,11.6,6.6,1.6,19.9,7.2,54.8,0.7,0.6,1.4
"174","Boston College","Syracuse",21,42,1,7,5,0.583,4,4,0.5,32,25.7,4.52,1.69,NA,NA,17,32,16.3,28.1,57.9,215.3,2.1,46.4,189.2,4.1,1.9,74.5,404.4,5.4,8.9,9.5,1,19.4,6.3,49.2,0.8,0.8,1.6,25.7,20.8,36.8,56.6,247.8,1.4,40.8,155.3,3.8,1.6,77.6,403.2,5.2,11.3,8.5,1.6,21.4,5.3,41.7,0.7,1.5,2.2,9,3,0.75,6,2,0.75,40.8,27.8,10.85,0.43,18,NA,12,40.8,20.8,36.1,57.7,261.5,1.8,45.8,210.3,4.6,2.9,81.9,471.8,5.8,10.3,10.9,2.3,23.6,6.9,56.5,0.5,0.8,1.3,27.8,19.7,35.4,55.5,263,1.7,37.7,163.8,4.3,1.6,73.1,426.8,5.8,10.3,8.1,1.8,20.1,7.8,61.2,1.1,1.4,2.5
"175","Duke","Wake Forest",7,59,1,7,5,0.583,3,5,0.375,27.2,27.4,4.3,3.3,NA,NA,22,27.2,20.5,36,56.9,229.9,2.2,36.8,162.7,4.4,1.3,72.8,392.6,5.4,10.2,8.8,1.4,20.4,4.2,35.2,0.8,0.6,1.4,27.4,17,30.9,55,197.1,1.3,43.1,222.3,5.2,2.1,74,419.4,5.7,9.1,10.9,1.1,21.1,5.6,54.3,0.7,0.3,0.9,6,6,0.5,3,5,0.375,32.5,33.3,1.39,1.97,NA,NA,NA,32.5,18.8,33.7,55.9,227.4,2,48,218,4.5,1.5,81.7,445.4,5.5,10.8,12.2,1.7,24.6,4,41.5,0.5,1,1.5,33.3,24.4,38.4,63.6,273.2,2.1,39.3,191,4.9,2.4,77.7,464.2,6,11.7,9,1.6,22.3,6,52.3,0.8,0.4,1.3
"176","Iowa State","Oklahoma",27,37,1,7,4,0.636,6,3,0.667,26.8,22.4,10.16,5.71,24,NA,18,26.8,18.4,28.1,65.4,241.6,1.7,34.8,125.4,3.6,1.3,62.9,367,5.8,9.5,7.6,2.1,19.1,4.5,39.9,0.7,0.5,1.3,22.4,20.1,32.9,61,229.5,1.6,37.4,128.1,3.4,0.7,70.3,357.5,5.1,10.4,8.2,0.8,19.4,6.4,61,0.6,0.6,1.3,11,1,0.917,8,1,0.889,50.3,32.8,18.36,4.53,5,7,5,50.3,19.2,27.5,69.7,319.4,3.2,37.5,264.8,7.1,3.2,65,584.3,9,13.1,11.9,1.2,26.2,6.2,61.7,0.4,0.6,1,32.8,22.3,35.3,63.1,286.6,1.8,39.5,162.4,4.1,2.4,74.8,449,6,12.6,9.6,2.1,24.3,5.5,50.1,0.4,0.4,0.8
"177","Baylor","Kansas",26,7,0,6,6,0.5,4,5,0.444,28.3,31.2,2.7,3.04,NA,NA,NA,28.3,22.9,37.5,61.1,282.2,1.7,38,159.5,4.2,1.8,75.5,441.7,5.8,12.1,10.6,2.4,25.1,7.8,76.1,0.5,1,1.5,31.2,19.1,31,61.6,237.6,2,34.5,175,5.1,1.8,65.5,412.6,6.3,9.8,8.8,1.8,20.4,6.4,58.8,0.2,0.6,0.8,3,9,0.25,1,8,0.111,23.8,30,-4.32,2.68,NA,NA,NA,23.8,19.2,32.8,58.5,192.7,1.5,35.2,158.2,4.5,1.2,67.9,350.8,5.2,9.3,7.2,1.5,17.9,6.5,55.8,0.6,0.3,0.9,30,19.5,30.1,64.8,246.8,1.9,38.6,172.4,4.5,1.8,68.7,419.2,6.1,10.7,9.8,1.4,21.9,6,55.3,0.9,1.3,2.3
"178","Texas","Texas Christian",31,16,0,9,3,0.75,7,2,0.778,31.7,25.2,10.82,4.74,9,23,6,31.7,22.3,34.3,65,257.4,2.2,40.3,157.3,3.9,1.6,74.5,414.7,5.6,12.2,9.3,2,23.5,7,62.5,0.4,0.4,0.8,25.2,21.3,35.5,59.9,255.8,1.7,34.7,136.5,3.9,1.4,70.2,392.3,5.6,10.8,7.5,1.7,20,6.8,69.8,0.5,0.9,1.4,6,6,0.5,4,5,0.444,24.7,24.4,3.95,5.04,NA,16,15,24.7,19.2,32.3,59.4,226.1,1.5,36.3,148.5,4.1,1.1,68.6,374.6,5.5,9.8,8.3,1.1,19.2,4.4,39.8,0.9,0.9,1.8,24.4,17.4,31.2,55.9,202.6,1.4,39.1,141.8,3.6,1.5,70.3,344.4,4.9,9,8.7,1.3,19,5.8,46.3,0.8,0.6,1.3
"179","Oklahoma State","Texas Tech",17,41,1,6,6,0.5,3,6,0.333,38.4,32.4,6.21,3.37,NA,NA,15,38.4,22.1,37.3,59.3,306.7,2.4,40.3,192.5,4.8,2.4,77.6,499.2,6.4,14.1,10.2,1.8,26,6.8,70.1,0.8,0.9,1.7,32.4,21.3,34.5,61.8,258.3,2,40,178.8,4.5,2.1,74.5,437.1,5.9,11.8,8.3,2.8,22.8,6.2,51,0.6,0.4,1,5,7,0.417,3,6,0.333,37.3,31.1,5.7,4.37,NA,NA,25,37.3,30.1,44.6,67.5,352.6,2.3,36.4,131.8,3.6,2.2,81,484.3,6,16.7,7.9,1.9,26.6,7.9,73.8,0.6,1.3,1.8,31.1,20.5,36.2,56.7,288.3,2.3,39.3,160.6,4.1,1.3,75.4,448.9,6,11.8,8.9,2.3,23.1,7.3,61.8,0.5,1,1.5
"180","West Virginia","Kansas State",35,6,0,8,3,0.727,6,3,0.667,42.3,26.5,14.45,3.45,15,17,6,42.3,24.7,37,66.8,358.1,3.5,35.4,162.3,4.6,1.9,72.4,520.4,7.2,14.8,8.4,1.6,24.8,7.2,66.8,0.6,0.8,1.5,26.5,20.5,32.6,63,254.6,1.9,36.5,151.2,4.1,1.2,69.2,405.8,5.9,11,9.4,1.5,21.9,6.5,57.4,0.8,1.2,2,5,7,0.417,3,6,0.333,22.5,25.4,1.81,3.89,NA,NA,NA,22.5,13.8,24.2,57.2,162.1,0.9,42.3,182.6,4.3,1.7,66.4,344.7,5.2,7.3,9.7,1.8,18.8,4.9,44.8,0.8,0.6,1.4,25.4,21.3,35.3,60.1,245.8,1.7,32.3,158,4.9,1.2,67.7,403.8,6,11.6,8.3,1.3,21,5.8,50.8,0.7,0.9,1.6
"181","Oklahoma","Baylor",66,33,0,11,1,0.917,8,1,0.889,50.3,32.8,18.36,4.53,5,7,5,50.3,19.2,27.5,69.7,319.4,3.2,37.5,264.8,7.1,3.2,65,584.3,9,13.1,11.9,1.2,26.2,6.2,61.7,0.4,0.6,1,32.8,22.3,35.3,63.1,286.6,1.8,39.5,162.4,4.1,2.4,74.8,449,6,12.6,9.6,2.1,24.3,5.5,50.1,0.4,0.4,0.8,6,6,0.5,4,5,0.444,28.3,31.2,2.7,3.04,NA,NA,NA,28.3,22.9,37.5,61.1,282.2,1.7,38,159.5,4.2,1.8,75.5,441.7,5.8,12.1,10.6,2.4,25.1,7.8,76.1,0.5,1,1.5,31.2,19.1,31,61.6,237.6,2,34.5,175,5.1,1.8,65.5,412.6,6.3,9.8,8.8,1.8,20.4,6.4,58.8,0.2,0.6,0.8
"182","Kansas","Oklahoma State",28,48,1,3,9,0.25,1,8,0.111,23.8,30,-4.32,2.68,NA,NA,NA,23.8,19.2,32.8,58.5,192.7,1.5,35.2,158.2,4.5,1.2,67.9,350.8,5.2,9.3,7.2,1.5,17.9,6.5,55.8,0.6,0.3,0.9,30,19.5,30.1,64.8,246.8,1.9,38.6,172.4,4.5,1.8,68.7,419.2,6.1,10.7,9.8,1.4,21.9,6,55.3,0.9,1.3,2.3,6,6,0.5,3,6,0.333,38.4,32.4,6.21,3.37,NA,NA,15,38.4,22.1,37.3,59.3,306.7,2.4,40.3,192.5,4.8,2.4,77.6,499.2,6.4,14.1,10.2,1.8,26,6.8,70.1,0.8,0.9,1.7,32.4,21.3,34.5,61.8,258.3,2,40,178.8,4.5,2.1,74.5,437.1,5.9,11.8,8.3,2.8,22.8,6.2,51,0.6,0.4,1
"183","Kansas State","Texas",14,19,1,5,7,0.417,3,6,0.333,22.5,25.4,1.81,3.89,NA,NA,NA,22.5,13.8,24.2,57.2,162.1,0.9,42.3,182.6,4.3,1.7,66.4,344.7,5.2,7.3,9.7,1.8,18.8,4.9,44.8,0.8,0.6,1.4,25.4,21.3,35.3,60.1,245.8,1.7,32.3,158,4.9,1.2,67.7,403.8,6,11.6,8.3,1.3,21,5.8,50.8,0.7,0.9,1.6,9,3,0.75,7,2,0.778,31.7,25.2,10.82,4.74,9,23,6,31.7,22.3,34.3,65,257.4,2.2,40.3,157.3,3.9,1.6,74.5,414.7,5.6,12.2,9.3,2,23.5,7,62.5,0.4,0.4,0.8,25.2,21.3,35.5,59.9,255.8,1.7,34.7,136.5,3.9,1.4,70.2,392.3,5.6,10.8,7.5,1.7,20,6.8,69.8,0.5,0.9,1.4
"184","Texas Christian","Iowa State",17,14,0,6,6,0.5,4,5,0.444,24.7,24.4,3.95,5.04,NA,16,15,24.7,19.2,32.3,59.4,226.1,1.5,36.3,148.5,4.1,1.1,68.6,374.6,5.5,9.8,8.3,1.1,19.2,4.4,39.8,0.9,0.9,1.8,24.4,17.4,31.2,55.9,202.6,1.4,39.1,141.8,3.6,1.5,70.3,344.4,4.9,9,8.7,1.3,19,5.8,46.3,0.8,0.6,1.3,7,4,0.636,6,3,0.667,26.8,22.4,10.16,5.71,24,NA,18,26.8,18.4,28.1,65.4,241.6,1.7,34.8,125.4,3.6,1.3,62.9,367,5.8,9.5,7.6,2.1,19.1,4.5,39.9,0.7,0.5,1.3,22.4,20.1,32.9,61,229.5,1.6,37.4,128.1,3.4,0.7,70.3,357.5,5.1,10.4,8.2,0.8,19.4,6.4,61,0.6,0.6,1.3
"185","Texas Tech","West Virginia",34,42,1,5,7,0.417,3,6,0.333,37.3,31.1,5.7,4.37,NA,NA,25,37.3,30.1,44.6,67.5,352.6,2.3,36.4,131.8,3.6,2.2,81,484.3,6,16.7,7.9,1.9,26.6,7.9,73.8,0.6,1.3,1.8,31.1,20.5,36.2,56.7,288.3,2.3,39.3,160.6,4.1,1.3,75.4,448.9,6,11.8,8.9,2.3,23.1,7.3,61.8,0.5,1,1.5,8,3,0.727,6,3,0.667,42.3,26.5,14.45,3.45,15,17,6,42.3,24.7,37,66.8,358.1,3.5,35.4,162.3,4.6,1.9,72.4,520.4,7.2,14.8,8.4,1.6,24.8,7.2,66.8,0.6,0.8,1.5,26.5,20.5,32.6,63,254.6,1.9,36.5,151.2,4.1,1.2,69.2,405.8,5.9,11,9.4,1.5,21.9,6.5,57.4,0.8,1.2,2
"186","Baylor","Kansas State",37,34,0,6,6,0.5,4,5,0.444,28.3,31.2,2.7,3.04,NA,NA,NA,28.3,22.9,37.5,61.1,282.2,1.7,38,159.5,4.2,1.8,75.5,441.7,5.8,12.1,10.6,2.4,25.1,7.8,76.1,0.5,1,1.5,31.2,19.1,31,61.6,237.6,2,34.5,175,5.1,1.8,65.5,412.6,6.3,9.8,8.8,1.8,20.4,6.4,58.8,0.2,0.6,0.8,5,7,0.417,3,6,0.333,22.5,25.4,1.81,3.89,NA,NA,NA,22.5,13.8,24.2,57.2,162.1,0.9,42.3,182.6,4.3,1.7,66.4,344.7,5.2,7.3,9.7,1.8,18.8,4.9,44.8,0.8,0.6,1.4,25.4,21.3,35.3,60.1,245.8,1.7,32.3,158,4.9,1.2,67.7,403.8,6,11.6,8.3,1.3,21,5.8,50.8,0.7,0.9,1.6
"187","Oklahoma State","Iowa State",42,48,1,6,6,0.5,3,6,0.333,38.4,32.4,6.21,3.37,NA,NA,15,38.4,22.1,37.3,59.3,306.7,2.4,40.3,192.5,4.8,2.4,77.6,499.2,6.4,14.1,10.2,1.8,26,6.8,70.1,0.8,0.9,1.7,32.4,21.3,34.5,61.8,258.3,2,40,178.8,4.5,2.1,74.5,437.1,5.9,11.8,8.3,2.8,22.8,6.2,51,0.6,0.4,1,7,4,0.636,6,3,0.667,26.8,22.4,10.16,5.71,24,NA,18,26.8,18.4,28.1,65.4,241.6,1.7,34.8,125.4,3.6,1.3,62.9,367,5.8,9.5,7.6,2.1,19.1,4.5,39.9,0.7,0.5,1.3,22.4,20.1,32.9,61,229.5,1.6,37.4,128.1,3.4,0.7,70.3,357.5,5.1,10.4,8.2,0.8,19.4,6.4,61,0.6,0.6,1.3
"188","Texas","Oklahoma",48,45,0,9,3,0.75,7,2,0.778,31.7,25.2,10.82,4.74,9,23,6,31.7,22.3,34.3,65,257.4,2.2,40.3,157.3,3.9,1.6,74.5,414.7,5.6,12.2,9.3,2,23.5,7,62.5,0.4,0.4,0.8,25.2,21.3,35.5,59.9,255.8,1.7,34.7,136.5,3.9,1.4,70.2,392.3,5.6,10.8,7.5,1.7,20,6.8,69.8,0.5,0.9,1.4,11,1,0.917,8,1,0.889,50.3,32.8,18.36,4.53,5,7,5,50.3,19.2,27.5,69.7,319.4,3.2,37.5,264.8,7.1,3.2,65,584.3,9,13.1,11.9,1.2,26.2,6.2,61.7,0.4,0.6,1,32.8,22.3,35.3,63.1,286.6,1.8,39.5,162.4,4.1,2.4,74.8,449,6,12.6,9.6,2.1,24.3,5.5,50.1,0.4,0.4,0.8
"189","West Virginia","Kansas",38,22,0,8,3,0.727,6,3,0.667,42.3,26.5,14.45,3.45,15,17,6,42.3,24.7,37,66.8,358.1,3.5,35.4,162.3,4.6,1.9,72.4,520.4,7.2,14.8,8.4,1.6,24.8,7.2,66.8,0.6,0.8,1.5,26.5,20.5,32.6,63,254.6,1.9,36.5,151.2,4.1,1.2,69.2,405.8,5.9,11,9.4,1.5,21.9,6.5,57.4,0.8,1.2,2,3,9,0.25,1,8,0.111,23.8,30,-4.32,2.68,NA,NA,NA,23.8,19.2,32.8,58.5,192.7,1.5,35.2,158.2,4.5,1.2,67.9,350.8,5.2,9.3,7.2,1.5,17.9,6.5,55.8,0.6,0.3,0.9,30,19.5,30.1,64.8,246.8,1.9,38.6,172.4,4.5,1.8,68.7,419.2,6.1,10.7,9.8,1.4,21.9,6,55.3,0.9,1.3,2.3
"190","Texas Christian","Texas Tech",14,17,1,6,6,0.5,4,5,0.444,24.7,24.4,3.95,5.04,NA,16,15,24.7,19.2,32.3,59.4,226.1,1.5,36.3,148.5,4.1,1.1,68.6,374.6,5.5,9.8,8.3,1.1,19.2,4.4,39.8,0.9,0.9,1.8,24.4,17.4,31.2,55.9,202.6,1.4,39.1,141.8,3.6,1.5,70.3,344.4,4.9,9,8.7,1.3,19,5.8,46.3,0.8,0.6,1.3,5,7,0.417,3,6,0.333,37.3,31.1,5.7,4.37,NA,NA,25,37.3,30.1,44.6,67.5,352.6,2.3,36.4,131.8,3.6,2.2,81,484.3,6,16.7,7.9,1.9,26.6,7.9,73.8,0.6,1.3,1.8,31.1,20.5,36.2,56.7,288.3,2.3,39.3,160.6,4.1,1.3,75.4,448.9,6,11.8,8.9,2.3,23.1,7.3,61.8,0.5,1,1.5
"191","Iowa State","West Virginia",30,14,0,7,4,0.636,6,3,0.667,26.8,22.4,10.16,5.71,24,NA,18,26.8,18.4,28.1,65.4,241.6,1.7,34.8,125.4,3.6,1.3,62.9,367,5.8,9.5,7.6,2.1,19.1,4.5,39.9,0.7,0.5,1.3,22.4,20.1,32.9,61,229.5,1.6,37.4,128.1,3.4,0.7,70.3,357.5,5.1,10.4,8.2,0.8,19.4,6.4,61,0.6,0.6,1.3,8,3,0.727,6,3,0.667,42.3,26.5,14.45,3.45,15,17,6,42.3,24.7,37,66.8,358.1,3.5,35.4,162.3,4.6,1.9,72.4,520.4,7.2,14.8,8.4,1.6,24.8,7.2,66.8,0.6,0.8,1.5,26.5,20.5,32.6,63,254.6,1.9,36.5,151.2,4.1,1.2,69.2,405.8,5.9,11,9.4,1.5,21.9,6.5,57.4,0.8,1.2,2
"192","Kansas State","Oklahoma State",31,12,0,5,7,0.417,3,6,0.333,22.5,25.4,1.81,3.89,NA,NA,NA,22.5,13.8,24.2,57.2,162.1,0.9,42.3,182.6,4.3,1.7,66.4,344.7,5.2,7.3,9.7,1.8,18.8,4.9,44.8,0.8,0.6,1.4,25.4,21.3,35.3,60.1,245.8,1.7,32.3,158,4.9,1.2,67.7,403.8,6,11.6,8.3,1.3,21,5.8,50.8,0.7,0.9,1.6,6,6,0.5,3,6,0.333,38.4,32.4,6.21,3.37,NA,NA,15,38.4,22.1,37.3,59.3,306.7,2.4,40.3,192.5,4.8,2.4,77.6,499.2,6.4,14.1,10.2,1.8,26,6.8,70.1,0.8,0.9,1.7,32.4,21.3,34.5,61.8,258.3,2,40,178.8,4.5,2.1,74.5,437.1,5.9,11.8,8.3,2.8,22.8,6.2,51,0.6,0.4,1
"193","Texas","Baylor",23,17,0,9,3,0.75,7,2,0.778,31.7,25.2,10.82,4.74,9,23,6,31.7,22.3,34.3,65,257.4,2.2,40.3,157.3,3.9,1.6,74.5,414.7,5.6,12.2,9.3,2,23.5,7,62.5,0.4,0.4,0.8,25.2,21.3,35.5,59.9,255.8,1.7,34.7,136.5,3.9,1.4,70.2,392.3,5.6,10.8,7.5,1.7,20,6.8,69.8,0.5,0.9,1.4,6,6,0.5,4,5,0.444,28.3,31.2,2.7,3.04,NA,NA,NA,28.3,22.9,37.5,61.1,282.2,1.7,38,159.5,4.2,1.8,75.5,441.7,5.8,12.1,10.6,2.4,25.1,7.8,76.1,0.5,1,1.5,31.2,19.1,31,61.6,237.6,2,34.5,175,5.1,1.8,65.5,412.6,6.3,9.8,8.8,1.8,20.4,6.4,58.8,0.2,0.6,0.8
"194","Texas Christian","Oklahoma",27,52,1,6,6,0.5,4,5,0.444,24.7,24.4,3.95,5.04,NA,16,15,24.7,19.2,32.3,59.4,226.1,1.5,36.3,148.5,4.1,1.1,68.6,374.6,5.5,9.8,8.3,1.1,19.2,4.4,39.8,0.9,0.9,1.8,24.4,17.4,31.2,55.9,202.6,1.4,39.1,141.8,3.6,1.5,70.3,344.4,4.9,9,8.7,1.3,19,5.8,46.3,0.8,0.6,1.3,11,1,0.917,8,1,0.889,50.3,32.8,18.36,4.53,5,7,5,50.3,19.2,27.5,69.7,319.4,3.2,37.5,264.8,7.1,3.2,65,584.3,9,13.1,11.9,1.2,26.2,6.2,61.7,0.4,0.6,1,32.8,22.3,35.3,63.1,286.6,1.8,39.5,162.4,4.1,2.4,74.8,449,6,12.6,9.6,2.1,24.3,5.5,50.1,0.4,0.4,0.8
"195","Texas Tech","Kansas",48,16,0,5,7,0.417,3,6,0.333,37.3,31.1,5.7,4.37,NA,NA,25,37.3,30.1,44.6,67.5,352.6,2.3,36.4,131.8,3.6,2.2,81,484.3,6,16.7,7.9,1.9,26.6,7.9,73.8,0.6,1.3,1.8,31.1,20.5,36.2,56.7,288.3,2.3,39.3,160.6,4.1,1.3,75.4,448.9,6,11.8,8.9,2.3,23.1,7.3,61.8,0.5,1,1.5,3,9,0.25,1,8,0.111,23.8,30,-4.32,2.68,NA,NA,NA,23.8,19.2,32.8,58.5,192.7,1.5,35.2,158.2,4.5,1.2,67.9,350.8,5.2,9.3,7.2,1.5,17.9,6.5,55.8,0.6,0.3,0.9,30,19.5,30.1,64.8,246.8,1.9,38.6,172.4,4.5,1.8,68.7,419.2,6.1,10.7,9.8,1.4,21.9,6,55.3,0.9,1.3,2.3
"196","West Virginia","Baylor",58,14,0,8,3,0.727,6,3,0.667,42.3,26.5,14.45,3.45,15,17,6,42.3,24.7,37,66.8,358.1,3.5,35.4,162.3,4.6,1.9,72.4,520.4,7.2,14.8,8.4,1.6,24.8,7.2,66.8,0.6,0.8,1.5,26.5,20.5,32.6,63,254.6,1.9,36.5,151.2,4.1,1.2,69.2,405.8,5.9,11,9.4,1.5,21.9,6.5,57.4,0.8,1.2,2,6,6,0.5,4,5,0.444,28.3,31.2,2.7,3.04,NA,NA,NA,28.3,22.9,37.5,61.1,282.2,1.7,38,159.5,4.2,1.8,75.5,441.7,5.8,12.1,10.6,2.4,25.1,7.8,76.1,0.5,1,1.5,31.2,19.1,31,61.6,237.6,2,34.5,175,5.1,1.8,65.5,412.6,6.3,9.8,8.8,1.8,20.4,6.4,58.8,0.2,0.6,0.8
"197","Iowa State","Texas Tech",40,31,0,7,4,0.636,6,3,0.667,26.8,22.4,10.16,5.71,24,NA,18,26.8,18.4,28.1,65.4,241.6,1.7,34.8,125.4,3.6,1.3,62.9,367,5.8,9.5,7.6,2.1,19.1,4.5,39.9,0.7,0.5,1.3,22.4,20.1,32.9,61,229.5,1.6,37.4,128.1,3.4,0.7,70.3,357.5,5.1,10.4,8.2,0.8,19.4,6.4,61,0.6,0.6,1.3,5,7,0.417,3,6,0.333,37.3,31.1,5.7,4.37,NA,NA,25,37.3,30.1,44.6,67.5,352.6,2.3,36.4,131.8,3.6,2.2,81,484.3,6,16.7,7.9,1.9,26.6,7.9,73.8,0.6,1.3,1.8,31.1,20.5,36.2,56.7,288.3,2.3,39.3,160.6,4.1,1.3,75.4,448.9,6,11.8,8.9,2.3,23.1,7.3,61.8,0.5,1,1.5
"198","Kansas","Texas Christian",27,26,0,3,9,0.25,1,8,0.111,23.8,30,-4.32,2.68,NA,NA,NA,23.8,19.2,32.8,58.5,192.7,1.5,35.2,158.2,4.5,1.2,67.9,350.8,5.2,9.3,7.2,1.5,17.9,6.5,55.8,0.6,0.3,0.9,30,19.5,30.1,64.8,246.8,1.9,38.6,172.4,4.5,1.8,68.7,419.2,6.1,10.7,9.8,1.4,21.9,6,55.3,0.9,1.3,2.3,6,6,0.5,4,5,0.444,24.7,24.4,3.95,5.04,NA,16,15,24.7,19.2,32.3,59.4,226.1,1.5,36.3,148.5,4.1,1.1,68.6,374.6,5.5,9.8,8.3,1.1,19.2,4.4,39.8,0.9,0.9,1.8,24.4,17.4,31.2,55.9,202.6,1.4,39.1,141.8,3.6,1.5,70.3,344.4,4.9,9,8.7,1.3,19,5.8,46.3,0.8,0.6,1.3
"199","Oklahoma","Kansas State",51,14,0,11,1,0.917,8,1,0.889,50.3,32.8,18.36,4.53,5,7,5,50.3,19.2,27.5,69.7,319.4,3.2,37.5,264.8,7.1,3.2,65,584.3,9,13.1,11.9,1.2,26.2,6.2,61.7,0.4,0.6,1,32.8,22.3,35.3,63.1,286.6,1.8,39.5,162.4,4.1,2.4,74.8,449,6,12.6,9.6,2.1,24.3,5.5,50.1,0.4,0.4,0.8,5,7,0.417,3,6,0.333,22.5,25.4,1.81,3.89,NA,NA,NA,22.5,13.8,24.2,57.2,162.1,0.9,42.3,182.6,4.3,1.7,66.4,344.7,5.2,7.3,9.7,1.8,18.8,4.9,44.8,0.8,0.6,1.4,25.4,21.3,35.3,60.1,245.8,1.7,32.3,158,4.9,1.2,67.7,403.8,6,11.6,8.3,1.3,21,5.8,50.8,0.7,0.9,1.6
"200","Oklahoma State","Texas",38,35,0,6,6,0.5,3,6,0.333,38.4,32.4,6.21,3.37,NA,NA,15,38.4,22.1,37.3,59.3,306.7,2.4,40.3,192.5,4.8,2.4,77.6,499.2,6.4,14.1,10.2,1.8,26,6.8,70.1,0.8,0.9,1.7,32.4,21.3,34.5,61.8,258.3,2,40,178.8,4.5,2.1,74.5,437.1,5.9,11.8,8.3,2.8,22.8,6.2,51,0.6,0.4,1,9,3,0.75,7,2,0.778,31.7,25.2,10.82,4.74,9,23,6,31.7,22.3,34.3,65,257.4,2.2,40.3,157.3,3.9,1.6,74.5,414.7,5.6,12.2,9.3,2,23.5,7,62.5,0.4,0.4,0.8,25.2,21.3,35.5,59.9,255.8,1.7,34.7,136.5,3.9,1.4,70.2,392.3,5.6,10.8,7.5,1.7,20,6.8,69.8,0.5,0.9,1.4
